indicator,name,composite_score_in,f1_in,precision_in,recall_in,composite_score_out,f1_out,precision_out,recall_out,rank_in,rank_out,rank_delta
V5,Daily Range Expansion (2σ),0.46041333446512034,0.4519206416209371,0.38405797101449274,0.5489130434782609,0.4647066549820422,0.41153710868800564,0.33163265306122447,0.5421686746987951,11,16,5
VOL5,Force Index Negative Flip,0.45790114743808197,0.45321561499177704,0.361003861003861,0.6086956521739131,0.5176650678418188,0.47280410943932377,0.3433333333333333,0.7590361445783133,12,7,-5
X3,Cross-Asset Correlation Spike,0.4411490683229813,0.041884816753926704,0.5714285714285714,0.021739130434782608,0.2443642702678847,0.10204081632653061,0.3333333333333333,0.060240963855421686,13,32,19
T5,Parabolic SAR Bearish Flip,0.4314584082443035,0.44181969179662267,0.34332425068119893,0.6195652173913043,0.4769470484088034,0.42540365984930023,0.3220338983050847,0.6265060240963856,14,14,0
VOL2,OBV Bearish Divergence,0.423636455848806,0.2841328413284133,0.5612244897959183,0.19021739130434784,0.467480774747341,0.28289131565262615,0.53125,0.1927710843373494,15,15,0
V2,BB Squeeze -> Expansion,0.4195876507306827,0.3572042249962097,0.4217687074829932,0.30978260869565216,0.4558959844857234,0.38939790575916233,0.3617021276595745,0.42168674698795183,16,19,3
T6,Lower High + Lower Low,0.40575239049228057,0.3450617866239034,0.37349397590361444,0.32065217391304346,0.32920529159562967,0.3126163007071083,0.2912621359223301,0.3373493975903614,17,25,8
M1,RSI Overbought Exit,0.3855928576028359,0.342963323452639,0.44970414201183434,0.27717391304347827,0.41916105882402965,0.3246707013171947,0.5581395348837209,0.2289156626506024,18,22,4
X2,Multi-Asset RSI Overbought,0.38048301266681045,0.2781894112892362,0.5175438596491229,0.19021739130434784,0.49735235202102673,0.23244552058111378,0.5925925925925926,0.14457831325301204,19,13,-6
M4,MACD Histogram Neg Flip,0.378961230092818,0.3586086450298356,0.3137254901960784,0.41847826086956524,0.4616926891238423,0.40017436791630345,0.2967032967032967,0.6144578313253012,20,17,-3
M3,MACD Dead Cross,0.378961230092818,0.3586086450298356,0.3137254901960784,0.41847826086956524,0.4616926891238423,0.40017436791630345,0.2967032967032967,0.6144578313253012,20,17,-3
X1,Broad Alt Weakness vs BTC,0.37577490900561106,0.3352380952380953,0.3235294117647059,0.34782608695652173,0.2552077400829552,0.23287515619675112,0.18981481481481483,0.30120481927710846,22,30,8
M2,RSI Bearish Divergence,0.3531819674949972,0.2296793437733035,0.46808510638297873,0.15217391304347827,0.2848206010856613,0.14093959731543623,0.42857142857142855,0.08433734939759036,23,28,5
T7,Ichimoku Cloud Breakdown,0.34106631725338815,0.3322329142375501,0.3739130434782609,0.29891304347826086,0.4268893618749564,0.3745519713261649,0.35403726708074534,0.39759036144578314,24,21,-3
X4,Market Breadth Deterioration,0.31440762633496167,0.324811493329764,0.28337874659400547,0.3804347826086957,0.5166353447979954,0.47401456188802404,0.35555555555555557,0.7108433734939759,25,8,-17
V1,Bollinger Lower Break,0.3092383671437594,0.27796393808839953,0.27346938775510204,0.2826086956521739,0.3319954607268631,0.2630937880633374,0.22085889570552147,0.3253012048192771,26,24,-2
T2,MA Dead Cross (50/200),0.30271439593630595,0.07766990291262135,0.36363636363636365,0.043478260869565216,0.2673113506658211,0.07843137254901962,0.21052631578947367,0.04819277108433735,27,29,2
T3,Close Breaks Below EMA(200),0.2960626260661744,0.22388059701492535,0.35714285714285715,0.16304347826086957,0.24929846210069842,0.18927444794952678,0.273972602739726,0.14457831325301204,28,31,3
X7,Volatility Regime Shift,0.28651074918664093,0.26722338204592905,0.28699551569506726,0.25,0.20885655389743168,0.2218873610849501,0.2152777777777778,0.2289156626506024,29,35,6
VOL1,Abnormal Volume Spike (down day),0.2784121141019749,0.2788499409216227,0.29949238578680204,0.2608695652173913,0.325138649837445,0.2988505747126437,0.2857142857142857,0.3132530120481928,30,26,-4
V6,Keltner Lower Break,0.2698007759085973,0.17994001999333556,0.23255813953488372,0.14673913043478262,0.24415739882607349,0.16057642820380855,0.18055555555555555,0.14457831325301204,31,33,2
V3,ATR Spike,0.2514427287093336,0.14476190476190476,0.4318181818181818,0.08695652173913043,0.2434691145534519,0.12371134020618557,0.42857142857142855,0.07228915662650602,32,34,2
X6,Volume-Weighted Market Momentum,0.2328297274807572,0.1506276150627615,0.32727272727272727,0.09782608695652174,0.4304641810665907,0.34065934065934067,0.31313131313131315,0.37349397590361444,33,20,-13
T1,EMA Dead Cross (20/50),0.21673626635024323,0.17518248175182483,0.2926829268292683,0.125,0.3659874441115685,0.24831867563372995,0.3488372093023256,0.1927710843373494,34,23,-11
T4,ADX +DI/-DI Bearish Cross,0.21365444728616081,0.18493150684931506,0.3176470588235294,0.13043478260869565,0.293197377421775,0.22608695652173916,0.40625,0.1566265060240964,35,27,-8
