indicator,category,name,symbol,crash_type,precision,recall,f1,avg_lead_time,median_lead_time,false_alarm_rate,total_signals,true_positives,false_positives,detected_crashes,missed_crashes,total_crashes
M2,momentum,RSI Bearish Divergence,SOL,C,0.5384615384615384,0.5,0.5185185185185186,10.571428571428571,12.0,0.46153846153846156,13,7,6,6,6,12
M2,momentum,RSI Bearish Divergence,SOL,D,0.46153846153846156,0.24,0.3157894736842105,11.166666666666666,13.5,0.5384615384615384,13,6,7,6,19,25
M2,momentum,RSI Bearish Divergence,DOGE,ALL,0.375,0.058823529411764705,0.10169491525423728,8.666666666666666,6.0,0.625,8,3,5,2,32,34
M2,momentum,RSI Bearish Divergence,DOGE,A,0.25,0.038461538461538464,0.06666666666666668,15.0,15.0,0.75,8,2,6,1,25,26
M2,momentum,RSI Bearish Divergence,DOGE,B,0.375,0.06060606060606061,0.10434782608695653,8.666666666666666,4.0,0.625,8,3,5,2,31,33
M2,momentum,RSI Bearish Divergence,DOGE,C,0.375,0.2857142857142857,0.3243243243243243,10.0,11.0,0.625,8,3,5,2,5,7
M2,momentum,RSI Bearish Divergence,DOGE,D,0.25,0.041666666666666664,0.07142857142857142,12.0,12.0,0.75,8,2,6,1,23,24
M2,momentum,RSI Bearish Divergence,OP,ALL,0.375,0.0625,0.10714285714285714,11.0,8.0,0.625,8,3,5,2,30,32
M2,momentum,RSI Bearish Divergence,OP,A,0.5,0.1111111111111111,0.1818181818181818,11.0,10.0,0.5,8,4,4,3,24,27
M2,momentum,RSI Bearish Divergence,OP,B,0.5,0.09375,0.15789473684210525,10.25,8.0,0.5,8,4,4,3,29,32
M2,momentum,RSI Bearish Divergence,OP,C,0.375,0.4,0.38709677419354843,10.333333333333334,8.0,0.625,8,3,5,2,3,5
M2,momentum,RSI Bearish Divergence,OP,D,0.5,0.08695652173913043,0.14814814814814817,16.5,19.0,0.5,8,4,4,2,21,23
M2,momentum,RSI Bearish Divergence,AVAX,ALL,0.875,0.16666666666666666,0.27999999999999997,7.714285714285714,7.0,0.125,8,7,1,5,25,30
M2,momentum,RSI Bearish Divergence,AVAX,A,0.625,0.125,0.20833333333333334,12.6,11.0,0.375,8,5,3,3,21,24
M2,momentum,RSI Bearish Divergence,AVAX,B,0.625,0.10344827586206896,0.1775147928994083,7.6,8.0,0.375,8,5,3,3,26,29
M2,momentum,RSI Bearish Divergence,AVAX,C,0.625,0.6,0.6122448979591836,11.8,14.0,0.375,8,5,3,3,2,5
M2,momentum,RSI Bearish Divergence,AVAX,D,0.875,0.22727272727272727,0.36082474226804123,9.714285714285714,8.0,0.125,8,7,1,5,17,22
M2,momentum,RSI Bearish Divergence,XRP,ALL,0.3333333333333333,0.03225806451612903,0.0588235294117647,5.0,5.0,0.6666666666666666,3,1,2,1,30,31
M2,momentum,RSI Bearish Divergence,XRP,A,0.3333333333333333,0.05555555555555555,0.09523809523809525,21.0,21.0,0.6666666666666666,3,1,2,1,17,18
M2,momentum,RSI Bearish Divergence,XRP,B,0.3333333333333333,0.043478260869565216,0.07692307692307691,19.0,19.0,0.6666666666666666,3,1,2,1,22,23
M2,momentum,RSI Bearish Divergence,XRP,C,0.3333333333333333,0.07142857142857142,0.11764705882352941,19.0,19.0,0.6666666666666666,3,1,2,1,13,14
M2,momentum,RSI Bearish Divergence,XRP,D,0.3333333333333333,0.05263157894736842,0.09090909090909091,5.0,5.0,0.6666666666666666,3,1,2,1,18,19
M2,momentum,RSI Bearish Divergence,XLM,ALL,0.4,0.11538461538461539,0.1791044776119403,9.5,9.5,0.6,5,2,3,3,23,26
M2,momentum,RSI Bearish Divergence,XLM,A,0.2,0.06666666666666667,0.1,8.0,8.0,0.8,5,1,4,1,14,15
M2,momentum,RSI Bearish Divergence,XLM,B,0.2,0.047619047619047616,0.07692307692307693,16.0,16.0,0.8,5,1,4,1,20,21
M2,momentum,RSI Bearish Divergence,XLM,C,0.2,0.2,0.20000000000000004,3.0,3.0,0.8,5,1,4,2,8,10
M2,momentum,RSI Bearish Divergence,XLM,D,0.0,0.0,0.0,,,1.0,5,0,5,0,17,17
M2,momentum,RSI Bearish Divergence,SUI,ALL,0.47058823529411764,0.21428571428571427,0.29447852760736193,13.375,15.0,0.5294117647058824,17,8,9,6,22,28
M2,momentum,RSI Bearish Divergence,SUI,A,0.11764705882352941,0.1,0.1081081081081081,11.0,11.0,0.8823529411764706,17,2,15,2,18,20
M2,momentum,RSI Bearish Divergence,SUI,B,0.35294117647058826,0.20833333333333334,0.26200873362445415,11.833333333333334,12.0,0.6470588235294118,17,6,11,5,19,24
M2,momentum,RSI Bearish Divergence,SUI,C,0.29411764705882354,0.5714285714285714,0.38834951456310673,15.6,14.0,0.7058823529411765,17,5,12,4,3,7
M2,momentum,RSI Bearish Divergence,SUI,D,0.47058823529411764,0.25,0.32653061224489793,11.25,11.5,0.5294117647058824,17,8,9,5,15,20
M3,momentum,MACD Dead Cross,BTC,ALL,0.22033898305084745,0.5,0.3058823529411765,7.230769230769231,4.0,0.7796610169491526,59,13,46,10,10,20
M3,momentum,MACD Dead Cross,BTC,A,0.11864406779661017,0.7777777777777778,0.2058823529411765,5.142857142857143,5.0,0.8813559322033898,59,7,52,7,2,9
M3,momentum,MACD Dead Cross,BTC,B,0.1864406779661017,0.5333333333333333,0.27629513343799056,7.090909090909091,4.0,0.8135593220338984,59,11,48,8,7,15
M3,momentum,MACD Dead Cross,BTC,C,0.06779661016949153,0.5714285714285714,0.12121212121212119,8.25,7.0,0.9322033898305084,59,4,55,4,3,7
M3,momentum,MACD Dead Cross,BTC,D,0.11864406779661017,0.6666666666666666,0.2014388489208633,6.571428571428571,4.0,0.8813559322033898,59,7,52,6,3,9
M3,momentum,MACD Dead Cross,ETH,ALL,0.2542372881355932,0.41935483870967744,0.31655844155844154,8.866666666666667,9.0,0.7457627118644068,59,15,44,13,18,31
M3,momentum,MACD Dead Cross,ETH,A,0.288135593220339,0.7368421052631579,0.4142732811140122,6.882352941176471,5.0,0.711864406779661,59,17,42,14,5,19
M3,momentum,MACD Dead Cross,ETH,B,0.2033898305084746,0.36,0.259927797833935,7.75,8.5,0.7966101694915254,59,12,47,9,16,25
M3,momentum,MACD Dead Cross,ETH,C,0.13559322033898305,0.6363636363636364,0.22355289421157687,12.875,14.5,0.864406779661017,59,8,51,7,4,11
M3,momentum,MACD Dead Cross,ETH,D,0.1694915254237288,0.47058823529411764,0.24922118380062305,9.0,10.0,0.8305084745762712,59,10,49,8,9,17
M3,momentum,MACD Dead Cross,SOL,ALL,0.44642857142857145,0.5714285714285714,0.5012531328320803,10.0,11.0,0.5535714285714286,56,25,31,20,15,35
M3,momentum,MACD Dead Cross,SOL,A,0.3392857142857143,0.6086956521739131,0.43570843570843576,9.631578947368421,8.0,0.6607142857142857,56,19,37,14,9,23
M3,momentum,MACD Dead Cross,SOL,B,0.39285714285714285,0.5625,0.46261682242990654,9.681818181818182,11.5,0.6071428571428571,56,22,34,18,14,32
M3,momentum,MACD Dead Cross,SOL,C,0.19642857142857142,0.6666666666666666,0.30344827586206896,10.909090909090908,10.0,0.8035714285714286,56,11,45,8,4,12
M3,momentum,MACD Dead Cross,SOL,D,0.30357142857142855,0.52,0.383347788378144,11.470588235294118,12.0,0.6964285714285714,56,17,39,13,12,25
M3,momentum,MACD Dead Cross,DOGE,ALL,0.30357142857142855,0.47058823529411764,0.3690637720488467,10.117647058823529,9.0,0.6964285714285714,56,17,39,16,18,34
M3,momentum,MACD Dead Cross,DOGE,A,0.3392857142857143,0.6538461538461539,0.4467496542185339,8.368421052631579,5.0,0.6607142857142857,56,19,37,17,9,26
M3,momentum,MACD Dead Cross,DOGE,B,0.30357142857142855,0.48484848484848486,0.3733699382292381,8.529411764705882,7.0,0.6964285714285714,56,17,39,16,17,33
M3,momentum,MACD Dead Cross,DOGE,C,0.05357142857142857,0.42857142857142855,0.09523809523809523,7.333333333333333,4.0,0.9464285714285714,56,3,53,3,4,7
M3,momentum,MACD Dead Cross,DOGE,D,0.17857142857142858,0.4166666666666667,0.25,12.6,14.5,0.8214285714285714,56,10,46,10,14,24
M3,momentum,MACD Dead Cross,OP,ALL,0.2545454545454545,0.34375,0.2924976258309592,11.857142857142858,12.5,0.7454545454545455,55,14,41,11,21,32
M3,momentum,MACD Dead Cross,OP,A,0.36363636363636365,0.7037037037037037,0.4794952681388012,8.4,8.0,0.6363636363636364,55,20,35,19,8,27
M3,momentum,MACD Dead Cross,OP,B,0.2909090909090909,0.40625,0.33903830480847597,11.0,12.0,0.7090909090909091,55,16,39,13,19,32
M3,momentum,MACD Dead Cross,OP,C,0.09090909090909091,0.8,0.163265306122449,10.6,10.0,0.9090909090909091,55,5,50,4,1,5
