symbol,cluster_id,cluster_start,cluster_end,n_event_days,types,peak_decline,has_A,has_B,has_C,has_D
DOGE,DOGE_31,2025-11-03,2025-11-21,3,A|B|D,-0.22828538423455635,True,True,False,True
DOGE,DOGE_32,2026-01-20,2026-02-05,4,A|B|D,-0.30069543227437967,True,True,False,True
DOGE,DOGE_33,2026-06-02,2026-06-05,3,A|B|D,-0.1827482447342026,True,True,False,True
ETH,ETH_0,2022-01-07,2022-01-21,3,A|B|D,-0.23822250434555625,True,True,False,True
ETH,ETH_1,2022-02-12,2022-03-04,4,A|B,-0.19333944815801374,True,True,False,False
ETH,ETH_2,2022-04-06,2022-04-11,2,A|B,-0.15336269356442678,True,True,False,False
ETH,ETH_3,2022-05-07,2022-05-27,5,A|B|D,-0.3445741346467629,True,True,False,True
ETH,ETH_4,2022-06-11,2022-07-25,9,A|B|C|D,-0.7126090897454986,True,True,True,True
ETH,ETH_5,2022-08-19,2022-08-28,3,A|B|D,-0.1783554956390302,True,True,False,True
ETH,ETH_6,2022-09-13,2022-09-18,5,A|B|D,-0.18547476486062542,True,True,False,True
ETH,ETH_7,2022-11-08,2022-11-08,1,A|B|D,-0.17960269948001817,True,True,False,True
ETH,ETH_8,2022-12-16,2022-12-16,1,B,-0.11649970848571589,False,True,False,False
ETH,ETH_9,2023-04-19,2023-04-21,2,B|D,-0.12109341573567867,False,True,False,True
ETH,ETH_10,2023-06-14,2023-06-14,1,C,-0.22076113788367235,False,False,True,False
ETH,ETH_11,2023-08-17,2023-08-31,2,C,-0.2232107878999562,False,False,True,False
ETH,ETH_12,2023-10-02,2023-10-02,1,C,-0.21535680403271862,False,False,True,False
ETH,ETH_13,2024-03-16,2024-03-19,2,A|B|C|D,-0.22292855737059636,True,True,True,True
ETH,ETH_14,2024-04-12,2024-04-29,5,A|B|C,-0.20863757134422356,True,True,True,False
ETH,ETH_15,2024-07-04,2024-07-04,1,B|C,-0.2472692383389098,False,True,True,False
ETH,ETH_16,2024-07-25,2024-08-05,6,A|B|C|D,-0.27069380225821804,True,True,True,True
ETH,ETH_17,2024-08-27,2024-08-27,1,B|D,-0.11223627167630057,False,True,False,True
ETH,ETH_18,2024-10-02,2024-10-02,1,B,-0.11044468358907589,False,True,False,False
ETH,ETH_19,2024-11-12,2024-11-12,1,C,-0.20197795709506006,False,False,True,False
ETH,ETH_20,2024-12-19,2024-12-22,2,A|B,-0.17106456281620275,True,True,False,False
ETH,ETH_21,2025-01-07,2025-02-06,9,A|B|C|D,-0.23303975595355253,True,True,True,True
ETH,ETH_22,2025-02-24,2025-03-13,9,A|B|D,-0.2595279793178218,True,True,False,True
ETH,ETH_23,2025-04-06,2025-04-10,3,A|B|D,-0.22654831021848,True,True,False,True
ETH,ETH_24,2025-06-22,2025-06-22,1,B,-0.11638478136701147,False,True,False,False
ETH,ETH_25,2025-08-02,2025-08-02,1,B,-0.10920209973753281,False,True,False,False
ETH,ETH_26,2025-08-25,2025-08-25,1,D,-0.0845099003169355,False,False,False,True
ETH,ETH_27,2025-09-25,2025-09-25,1,A,-0.1554823156031615,True,False,False,False
ETH,ETH_28,2025-10-10,2025-11-21,8,A|B|C|D,-0.34780763290378114,True,True,True,True
ETH,ETH_29,2026-01-20,2026-02-05,4,A|B|D,-0.3964424122083938,True,True,False,True
ETH,ETH_30,2026-06-04,2026-06-05,2,A|B|D,-0.2140141173667437,True,True,False,True
OP,OP_0,2022-06-03,2022-06-22,9,A|B|D,-0.6762383345297918,True,True,False,True
OP,OP_1,2022-07-11,2022-09-24,18,A|B|D,-0.5524861878453039,True,True,False,True
OP,OP_2,2022-10-10,2022-10-20,4,A|B|D,-0.15248226950354615,True,True,False,True
OP,OP_3,2022-11-08,2022-11-27,7,A|B|C|D,-0.5560020090406831,True,True,True,True
OP,OP_4,2022-12-16,2022-12-21,3,A|B|D,-0.17032484635645306,True,True,False,True
OP,OP_5,2023-01-30,2023-03-27,17,A|B|C|D,-0.3914866172202516,True,True,True,True
OP,OP_6,2023-04-20,2023-05-11,7,A|B|C|D,-0.36121361213612135,True,True,True,True
OP,OP_7,2023-05-30,2023-06-10,4,A|B|D,-0.2702341137123746,True,True,False,True
OP,OP_8,2023-06-28,2023-07-06,2,A|B,-0.1507327285415213,True,True,False,False
OP,OP_9,2023-08-10,2023-08-17,2,B,-0.1409691629955947,False,True,False,False
OP,OP_10,2023-09-01,2023-09-01,1,B,-0.11772575250836126,False,True,False,False
OP,OP_11,2023-12-15,2024-01-31,9,A|B|C|D,-0.2929824561403509,True,True,True,True
OP,OP_12,2024-02-23,2024-02-23,1,B,-0.13723561239547466,False,True,False,False
OP,OP_13,2024-03-15,2024-04-13,8,A|B|C|D,-0.4591211037301993,True,True,True,True
OP,OP_14,2024-05-08,2024-05-08,1,B,-0.11065149948293684,False,True,False,False
OP,OP_15,2024-05-24,2024-07-07,9,A|B|D,-0.4858909934286819,True,True,False,True
OP,OP_16,2024-07-24,2024-08-11,4,A|B|D,-0.32951289398280814,True,True,False,True
OP,OP_17,2024-08-27,2024-08-27,1,B,-0.14454828660436136,False,True,False,False
OP,OP_18,2024-09-30,2024-10-04,3,A|B|D,-0.15473684210526306,True,True,False,True
