date,symbol,crash_A,crash_B,crash_C,crash_D,ret_1d,ret_3d,ret_7d,dd_52w,crash_type,severity,cluster_id,cluster_start,cluster_peak_decline
2022-07-25,DOGE,False,False,False,True,-0.08319763138415992,-0.08156606851549764,-0.08333333333333326,-0.6643360433604336,D,-0.08319763138415992,DOGE_2,2022-06-11,-0.6229810298102981
2022-08-19,DOGE,False,True,False,True,-0.0933904201230934,-0.2190849371902731,-0.0627939142461964,-0.6327371273712736,B|D,-0.2190849371902731,DOGE_3,2022-08-19,-0.2190849371902731
2022-08-21,DOGE,True,False,False,False,-0.00014423770373572786,-0.07251806261707239,-0.1513222331047992,-0.6242818428184281,A,-0.1513222331047992,DOGE_3,2022-08-19,-0.2190849371902731
2022-08-23,DOGE,True,False,False,False,0.006432748538011568,-0.0070676474830521085,-0.20663823902270373,-0.6268834688346884,A,-0.20663823902270373,DOGE_3,2022-08-19,-0.2190849371902731
2022-08-28,DOGE,False,True,False,False,-0.027239804755156638,-0.1043780806030733,-0.10877091748413159,-0.665149051490515,B,-0.1043780806030733,DOGE_3,2022-08-19,-0.2190849371902731
2022-11-02,DOGE,False,False,False,True,-0.10175216381676144,0.08426059627962301,0.7570543702684103,-0.3081300813008129,D,-0.10175216381676144,DOGE_4,2022-11-02,-0.41637289463376426
2022-11-04,DOGE,False,True,False,False,0.028625020388191036,-0.1124481035817324,0.5038750447120544,-0.3163685636856369,B,-0.1124481035817324,DOGE_4,2022-11-02,-0.41637289463376426
2022-11-07,DOGE,False,True,False,False,-0.030844297290232636,-0.11813208594307456,-0.1232066845341322,-0.3971273712737128,B,-0.11813208594307456,DOGE_4,2022-11-02,-0.41637289463376426
2022-11-08,DOGE,True,False,False,True,-0.2064191315292636,-0.29071916432302136,-0.3788614453592287,-0.5215718157181573,A|D,-0.3788614453592287,DOGE_4,2022-11-02,-0.41637289463376426
2022-11-20,DOGE,False,False,False,True,-0.08894145476049675,-0.09023266800519658,-0.09323131253678629,-0.5824932249322493,D,-0.08894145476049675,DOGE_4,2022-11-02,-0.41637289463376426
2022-11-21,DOGE,False,True,False,False,-0.03076723354537192,-0.11895208874203433,-0.1313554392088423,-0.5953387533875338,B,-0.11895208874203433,DOGE_4,2022-11-02,-0.41637289463376426
2022-12-16,DOGE,True,True,False,True,-0.10795521508544492,-0.16869851729818797,-0.21726990692864534,-0.5897560975609757,A|B|D,-0.21726990692864534,DOGE_5,2022-12-16,-0.21726990692864534
2022-12-19,DOGE,False,False,False,True,-0.09099018733273856,-0.05760338221693739,-0.20999003211872846,-0.6133875338753387,D,-0.09099018733273856,DOGE_5,2022-12-16,-0.21726990692864534
2023-02-09,DOGE,False,False,False,True,-0.09691727655799509,-0.09056393076493585,-0.1049565886361139,-0.5284308048639259,D,-0.09691727655799509,DOGE_6,2023-02-09,-0.12579703879822757
2023-02-10,DOGE,False,True,False,False,-0.006753438113948906,-0.12579703879822757,-0.12955988378349292,-0.531615518239722,B,-0.12579703879822757,DOGE_6,2023-02-09,-0.12579703879822757
2023-03-09,DOGE,True,True,False,False,-0.07269403824521947,-0.1181976200026742,-0.18135551142005968,-0.6181239143022583,A|B,-0.18135551142005968,DOGE_7,2023-03-09,-0.18135551142005968
2023-04-06,DOGE,False,True,False,False,-0.0783425056652639,-0.11031250000000004,0.150767987065481,-0.4597722960151802,B,-0.11031250000000004,DOGE_8,2023-04-06,-0.11031250000000004
2023-04-21,DOGE,False,True,False,False,-0.06520443437835266,-0.16671979598342357,-0.11549740581998647,-0.5039848197343453,B,-0.16671979598342357,DOGE_9,2023-04-21,-0.16671979598342357
2023-04-25,DOGE,True,False,False,False,0.013082687666708948,-0.006477329347284622,-0.15248113909255134,-0.4387446344381113,A,-0.15248113909255134,DOGE_9,2023-04-21,-0.16671979598342357
2023-06-05,DOGE,False,False,False,True,-0.08401158780521445,-0.08489525909592055,-0.09202789552851087,-0.5327563155302231,D,-0.08401158780521445,DOGE_10,2023-06-05,-0.1506189821182944
2023-06-10,DOGE,True,False,False,True,-0.11112710522527713,-0.08219381688466121,-0.1506189821182944,-0.5654774470480612,A|D,-0.1506189821182944,DOGE_10,2023-06-05,-0.1506189821182944
2023-06-12,DOGE,False,True,False,False,-0.0013006015282068795,-0.11573341010508142,-0.07484939759036147,-0.5677292238406868,B,-0.11573341010508142,DOGE_10,2023-06-05,-0.1506189821182944
2023-08-16,DOGE,False,True,False,False,-0.053010009868885044,-0.10188527878058562,-0.10926932767537478,-0.5273379776229681,B,-0.10188527878058562,DOGE_11,2023-08-16,-0.1958355297838693
2023-08-17,DOGE,True,False,False,True,-0.09155873157659666,-0.1830231624046058,-0.1958355297838693,-0.5706143128562381,A|D,-0.1958355297838693,DOGE_11,2023-08-16,-0.1958355297838693
2023-08-21,DOGE,True,False,False,False,-0.02067669172932307,-0.011697755295605239,-0.16294015263087425,-0.5600591091408063,A,-0.16294015263087425,DOGE_11,2023-08-16,-0.1958355297838693
2023-11-18,DOGE,False,False,True,False,-0.07094086332600391,0.05312868949232574,0.02280545292393943,-0.24810339983141327,C,-0.24810339983141327,DOGE_12,2023-11-18,-0.24810339983141327
2023-11-20,DOGE,False,True,False,False,-0.034551329853343304,-0.10102997338271036,0.04184549356223166,-0.2724548094033905,B,-0.10102997338271036,DOGE_12,2023-11-18,-0.24810339983141327
2024-01-03,DOGE,False,False,False,True,-0.09978046103183313,-0.08419877163595757,-0.12429257875066735,-0.1948753190653839,D,-0.09978046103183313,DOGE_13,2024-01-03,-0.21392106813273126
2024-01-06,DOGE,False,False,True,False,-0.02528123865973142,-0.01743689793927572,-0.10466666666666669,-0.20891419595523275,C,-0.20891419595523275,DOGE_13,2024-01-03,-0.21392106813273126
2024-01-12,DOGE,False,False,True,False,-0.05309839167455055,0.010602044680045442,-0.031450344744163417,-0.21392106813273126,C,-0.21392106813273126,DOGE_13,2024-01-03,-0.21392106813273126
2024-01-22,DOGE,False,False,True,False,-0.0572197519307277,0.02545500827287772,-0.006290083867784846,-0.20901236991949734,C,-0.20901236991949734,DOGE_13,2024-01-03,-0.21392106813273126
2024-01-23,DOGE,False,True,False,False,-0.029291299491125744,-0.1089210436367779,-0.03848045242193254,-0.2321814254859611,B,-0.1089210436367779,DOGE_13,2024-01-03,-0.21392106813273126
2024-02-10,DOGE,False,False,True,False,-0.0015941140404658327,0.016098839385997765,0.034036068072136105,-0.20066758295699982,C,-0.20066758295699982,DOGE_14,2024-02-10,-0.20430001963479294
2024-02-13,DOGE,False,False,True,False,-0.014349993919494097,-0.004544338000491366,0.032615619824181374,-0.20430001963479294,C,-0.20430001963479294,DOGE_14,2024-02-10,-0.20430001963479294
2024-03-05,DOGE,False,False,False,True,-0.15893602989668054,0.07805015497323198,0.5683541709366675,-0.15893602989668054,D,-0.15893602989668054,DOGE_15,2024-03-05,-0.3066678787327849
2024-03-07,DOGE,False,True,False,False,-0.0012671059300557452,-0.13365574851615747,0.3436754176610979,-0.13365574851615747,B,-0.13365574851615747,DOGE_15,2024-03-05,-0.3066678787327849
2024-03-16,DOGE,True,True,True,True,-0.12862994436632635,-0.1564774812096823,-0.2026293706293707,-0.21686813186813192,A|B|C|D,-0.21686813186813192,DOGE_15,2024-03-05,-0.3066678787327849
2024-03-18,DOGE,True,False,True,False,-0.069678506611356,-0.12251635385461879,-0.21137362637362644,-0.21137362637362644,A|C,-0.21137362637362644,DOGE_15,2024-03-05,-0.3066678787327849
2024-03-19,DOGE,False,False,False,True,-0.10255695673378373,-0.09626043639935444,-0.23400333016175068,-0.2922527472527472,D,-0.10255695673378373,DOGE_15,2024-03-05,-0.3066678787327849
2024-04-02,DOGE,False,False,False,True,-0.10998390479442022,-0.08356769787063068,0.0009873834339002574,-0.17058315531112223,D,-0.10998390479442022,DOGE_15,2024-03-05,-0.3066678787327849
2024-04-03,DOGE,False,True,True,False,-0.039785181937746716,-0.20354545454545458,-0.08006510211581885,-0.20358165537930106,B|C,-0.20358165537930106,DOGE_15,2024-03-05,-0.3066678787327849
2024-04-04,DOGE,True,False,False,False,0.02716584864741467,-0.12217724235477734,-0.1819462751693105,-0.1819462751693105,A,-0.1819462751693105,DOGE_15,2024-03-05,-0.3066678787327849
2024-04-12,DOGE,False,False,True,True,-0.10201238390092882,-0.07979060913705593,-0.017889390519187365,-0.20899050043179868,C|D,-0.20899050043179868,DOGE_15,2024-03-05,-0.3066678787327849
2024-04-13,DOGE,True,True,False,False,-0.12348445670286723,-0.2361924790946872,-0.17887710609893948,-0.3066678787327849,A|B,-0.2361924790946872,DOGE_15,2024-03-05,-0.3066678787327849
2024-04-30,DOGE,True,False,False,False,-0.06993445823455569,-0.09725230102869509,-0.16521684711183415,-0.393709376846507,A,-0.16521684711183415,DOGE_16,2024-04-30,-0.16521684711183415
2024-05-01,DOGE,False,True,False,False,-0.023839868056076297,-0.11240627130197689,-0.13990356034084162,-0.40816326530612246,B,-0.11240627130197689,DOGE_16,2024-04-30,-0.16521684711183415
2024-05-08,DOGE,False,True,False,False,-0.045003000200013354,-0.11020002484780722,0.10006911911527538,-0.34893868460524524,B,-0.11020002484780722,DOGE_16,2024-04-30,-0.16521684711183415
2024-06-08,DOGE,False,True,False,False,-0.015654520917678716,-0.10645595981869393,-0.09001309961948722,-0.33693923003499837,B,-0.10645595981869393,DOGE_17,2024-06-08,-0.16717760065399556
2024-06-18,DOGE,False,True,False,False,-0.050780340088516174,-0.10616363237552096,-0.11451542807475001,-0.44434343893459394,B,-0.10616363237552096,DOGE_17,2024-06-08,-0.16717760065399556
2024-06-19,DOGE,True,False,False,False,0.0017995910020449646,-0.1069058557573106,-0.16236919499350255,-0.4433434843870734,A,-0.16236919499350255,DOGE_17,2024-06-08,-0.16717760065399556
2024-07-04,DOGE,True,True,False,True,-0.11368047936534731,-0.14977331606217614,-0.17378648414758868,-0.5226580609972273,A|B|D,-0.17378648414758868,DOGE_18,2024-07-04,-0.17378648414758868
