rank,members,size,strategy,f1,precision,recall,false_alarm_rate,avg_lead_time,total_signals,detected_crashes,total_crashes
527,V4+VOL4,2,AND,0.1941298821354287,0.3465346534653465,0.1348314606741573,0.6534653465346535,7.305555555555555,101,36,267
528,VOL3+VOL4,2,AND,0.1927047487955953,0.36363636363636365,0.13108614232209737,0.6363636363636364,10.155026455026453,110,35,267
529,VOL6+VOL3,2,AND,0.1923301537862566,0.2814814814814815,0.14606741573033707,0.7185185185185186,11.316666666666666,135,39,267
530,M5+M8+X5,3,SEQUENTIAL,0.19198312236286919,0.28,0.14606741573033707,0.72,12.29484126984127,150,39,267
531,M5+M7+VOL4,3,SEQUENTIAL,0.1910828025477707,0.32786885245901637,0.1348314606741573,0.6721311475409836,7.8577601410934745,122,36,267
532,M8+V7+VOL4,3,SEQUENTIAL,0.19073693817020307,0.4175824175824176,0.12359550561797752,0.5824175824175825,11.356084656084654,91,33,267
533,V7+M6+V4,3,MAJORITY,0.18749999999999997,0.3076923076923077,0.1348314606741573,0.6923076923076923,11.327777777777778,130,36,267
534,V7+M6+V4,3,WEIGHTED,0.18749999999999997,0.3076923076923077,0.1348314606741573,0.6923076923076923,11.327777777777778,130,36,267
535,M5+VOL3,2,AND,0.1873170731707317,0.42857142857142855,0.1198501872659176,0.5714285714285714,7.8582010582010575,77,32,267
536,M5+M7+VOL3,3,SEQUENTIAL,0.18605610561056105,0.3761467889908257,0.12359550561797752,0.6238532110091743,8.566666666666668,109,33,267
537,M8+V7+X5,3,SEQUENTIAL,0.18508305008657733,0.2785714285714286,0.13857677902621723,0.7214285714285714,9.976851851851853,140,37,267
538,VOL6+M8+V4,3,SEQUENTIAL,0.18363939899833054,0.35714285714285715,0.12359550561797752,0.6428571428571429,8.857407407407408,98,33,267
539,X5+VOL3,2,AND,0.18297960024726972,0.2846153846153846,0.1348314606741573,0.7153846153846154,10.831481481481482,130,36,267
540,M5+M6+VOL4,3,SEQUENTIAL,0.1828430237047332,0.3854166666666667,0.1198501872659176,0.6145833333333334,8.92283950617284,96,32,267
541,M7+V7+VOL3,3,SEQUENTIAL,0.180475359205049,0.3652173913043478,0.1198501872659176,0.6347826086956522,11.63888888888889,115,32,267
542,V4+VOL4,2,SEQUENTIAL,0.17907137907137907,0.30158730158730157,0.12734082397003746,0.6984126984126984,11.358465608465607,126,34,267
543,M7+M8+VOL4,3,SEQUENTIAL,0.1788654732230531,0.3523809523809524,0.1198501872659176,0.6476190476190476,11.317460317460318,105,32,267
544,M5+V7+VOL3,3,SEQUENTIAL,0.1785990304222581,0.3867924528301887,0.11610486891385768,0.6132075471698113,11.158333333333333,106,31,267
545,M7+M6+V4,3,SEQUENTIAL,0.1773312950425857,0.4827586206896552,0.10861423220973783,0.5172413793103449,7.425,58,29,267
546,M5+VOL6+VOL4,3,SEQUENTIAL,0.17611070648215585,0.3644859813084112,0.11610486891385768,0.6355140186915887,11.231481481481481,107,31,267
547,M5+M7+V4,3,AND,0.1743823956819597,0.5172413793103449,0.10486891385767791,0.4827586206896552,10.65925925925926,58,28,267
548,M7+X5+VOL3,3,SEQUENTIAL,0.17063373995834574,0.3217391304347826,0.11610486891385768,0.6782608695652174,12.074579124579124,115,31,267
549,M5+M7+VOL3,3,AND,0.16883251897286622,0.43283582089552236,0.10486891385767791,0.5671641791044776,7.714814814814815,67,28,267
550,V7+X5+V4,3,SEQUENTIAL,0.16671148158107016,0.3229166666666667,0.11235955056179775,0.6770833333333334,12.362962962962962,96,30,267
551,V7+X5+VOL3,3,SEQUENTIAL,0.16655413009227998,0.3217391304347826,0.11235955056179775,0.6782608695652174,8.707407407407409,115,30,267
552,VOL6+X5+V4,3,SEQUENTIAL,0.16621983914209115,0.29245283018867924,0.11610486891385768,0.7075471698113207,9.10925925925926,106,31,267
553,M7+M8+VOL3,3,SEQUENTIAL,0.1653081435209873,0.28688524590163933,0.11610486891385768,0.7131147540983607,13.777777777777777,122,31,267
554,M7+M8+V4,3,SEQUENTIAL,0.16359423793693967,0.3717948717948718,0.10486891385767791,0.6282051282051282,9.24375,78,28,267
555,VOL6+V7+X5,3,SEQUENTIAL,0.16241230034333481,0.2518518518518518,0.1198501872659176,0.7481481481481481,10.432098765432098,135,32,267
556,M7+X5+V4,3,SEQUENTIAL,0.16231884057971016,0.358974358974359,0.10486891385767791,0.6410256410256411,6.512962962962963,78,28,267
557,M5+M8+VOL4,3,SEQUENTIAL,0.16229033107930096,0.358695652173913,0.10486891385767791,0.6413043478260869,11.063492063492063,92,28,267
558,M5+M8+VOL3,3,SEQUENTIAL,0.16104333193100545,0.3113207547169811,0.10861423220973783,0.6886792452830188,13.52222222222222,106,29,267
559,M5+X5+VOL4,3,SEQUENTIAL,0.16078540335278318,0.34444444444444444,0.10486891385767791,0.6555555555555556,7.696296296296296,90,28,267
560,M8+X5+V4,3,SEQUENTIAL,0.1599842380061078,0.3372093023255814,0.10486891385767791,0.6627906976744186,7.601851851851851,86,28,267
561,M8+V7+VOL3,3,SEQUENTIAL,0.15984077164510452,0.3025210084033613,0.10861423220973783,0.6974789915966386,12.48125,119,29,267
562,M5+X5+V4,3,SEQUENTIAL,0.15976331360946747,0.38028169014084506,0.10112359550561797,0.6197183098591549,7.111111111111111,71,27,267
563,M7+M8+V7,3,SEQUENTIAL,0.1594103531025026,0.2542372881355932,0.11610486891385768,0.7457627118644068,12.012500000000001,118,31,267
564,M5+VOL6+V4,3,SEQUENTIAL,0.15929978118161925,0.4375,0.09737827715355805,0.5625,10.018518518518519,64,26,267
565,VOL6+V7+VOL3,3,SEQUENTIAL,0.15872725610313615,0.3263157894736842,0.10486891385767791,0.6736842105263158,12.200000000000001,95,28,267
566,M5+VOL6+M7,3,SEQUENTIAL,0.1577287066246057,0.5,0.09363295880149813,0.5,9.944444444444445,52,25,267
567,VOL6+V7+VOL4,3,SEQUENTIAL,0.15549901046084255,0.4583333333333333,0.09363295880149813,0.5416666666666666,8.481481481481481,72,25,267
568,VOL6+V4,2,AND,0.1545873910814967,0.26804123711340205,0.10861423220973783,0.7319587628865979,8.208333333333332,97,29,267
569,V7+VOL3,2,AND,0.15408132069703456,0.2903225806451613,0.10486891385767791,0.7096774193548387,13.304166666666667,93,28,267
570,M7+V7+VOL4,3,SEQUENTIAL,0.1536819637139808,0.32,0.10112359550561797,0.68,9.284391534391535,100,27,267
