strategy_id,base_id,module,base_oos_return,cand_oos_return,delta_oos_return,base_oos_sharpe,cand_oos_sharpe,base_oos_pf,cand_oos_pf,base_oos_trades,cand_oos_trades,is_return_base,is_return_cand,is_gate_pass,verdict
S2.08_L_aggr_F9+FC2,S2.08_L_aggr_F9,C,16.576320977861428,,,0.5898309509575087,,1.2617331524901496,,189,50,43.50263320077633,,False,reject
S2.08_L_aggr_F9+FC5,S2.08_L_aggr_F9,C,16.576320977861428,,,0.5898309509575087,,1.2617331524901496,,189,71,43.50263320077633,10.150064158798015,False,reject
S3.12_S_aggr_F8+F1,S3.12_S_aggr_F8,F,43.621023093201615,51.842983815808445,8.22196072260683,0.7178704813207012,0.7492993469197169,1.272316957650161,1.429722951190171,374,386,57.07911737605112,13.466335981465997,False,adopt
S3.12_S_aggr_F8+A1+B2,S3.12_S_aggr_F8,combo,43.621023093201615,50.63235828992919,7.011335196727579,0.7178704813207012,1.0924820811075588,1.272316957650161,1.5777804863807272,374,423,57.07911737605112,40.30231303788104,False,adopt
S3.12_S_aggr_F8+A1,S3.12_S_aggr_F8,A,43.621023093201615,46.81612507258893,3.195101979387317,0.7178704813207012,0.6640338336349111,1.272316957650161,1.3355072106054031,374,305,57.07911737605112,18.75083031026062,False,adopt
S3.12_S_aggr_F8+A1+FC1,S3.12_S_aggr_F8,combo,43.621023093201615,46.291572347306314,2.6705492541046993,0.7178704813207012,0.6858140464430221,1.272316957650161,1.3544253172482303,374,285,57.07911737605112,4.631127821656148,False,adopt
S3.12_S_aggr_F8+B1,S3.12_S_aggr_F8,B,43.621023093201615,45.25041906031278,1.629395967111165,0.7178704813207012,1.0641424671746509,1.272316957650161,1.5352839493185546,374,424,57.07911737605112,43.70227810288042,False,adopt
S3.12_S_aggr_F8+D2,S3.12_S_aggr_F8,D,43.621023093201615,45.072483586603035,1.4514604934014201,0.7178704813207012,0.7178704813207012,1.272316957650161,1.272316957650161,374,374,57.07911737605112,66.97968566632008,True,hold
S3.12_S_aggr_F8+B2,S3.12_S_aggr_F8,B,43.621023093201615,45.06267263799475,1.4416495447931368,0.7178704813207012,1.2157703929019428,1.272316957650161,1.5070934735413264,374,456,57.07911737605112,36.24958248755714,False,adopt
S3.12_S_aggr_F8+F3,S3.12_S_aggr_F8,F,43.621023093201615,44.373758329873525,0.75273523667191,0.7178704813207012,0.9386425905608982,1.272316957650161,1.4319345277962752,374,448,57.07911737605112,45.83395537681933,False,adopt
S3.12_S_aggr_F8+F3+FC1,S3.12_S_aggr_F8,combo,43.621023093201615,43.786972050560315,0.16594895735870097,0.7178704813207012,0.980123131352503,1.272316957650161,1.4896767285258359,374,412,57.07911737605112,26.512356003204726,False,adopt
S3.12_S_aggr_F8+A2,S3.12_S_aggr_F8,A,43.621023093201615,41.601002981489906,-2.020020111711709,0.7178704813207012,0.5879336514819692,1.272316957650161,1.251170916235586,374,350,57.07911737605112,17.35665864654549,False,reject
S3.12_S_aggr_F8+FC1,S3.12_S_aggr_F8,C,43.621023093201615,39.806067284846414,-3.814955808355201,0.7178704813207012,0.6850431819572111,1.272316957650161,1.2673736396899864,374,350,57.07911737605112,32.03785627200311,False,reject
